title;description;type;calories;fat;carbs;protein;allowed
Black sesame ice cream;Creamy ice cream flavored with roasted black sesame seeds. High in fats and sugars.;dessert;250;15;30;5;vegetarian,gluten-free
Chocolate truffles;Rich, creamy chocolate balls dusted with cocoa powder. High in fats and sugars.;dessert;200;12;20;3;vegetarian,gluten-free
Apple;A crisp, juicy fruit with a naturally sweet flavor. Apples are rich in fiber and vitamin C.;specific_snacks;95;0.3;25.0;0.5;vegan,vegetarian,lactose-intolerant,gluten-free
Banana;Soft, creamy fruit, great for energy-boosting carbs on the go.;specific_snacks;300;0.4;27.0;1.2;vegan,vegetarian,lactose-intolerant,gluten-free
Orange;A juicy and tangy fruit, high in vitamin C for immunity support.;specific_snacks;62;0.2;15.0;1.2;vegan,vegetarian,lactose-intolerant,gluten-free
Greek Yogurt;Thick, creamy yogurt high in protein, supporting muscle growth.;specific_snacks;150;4.5;10.0;15.0;vegetarian,gluten-free
Almonds;Nutrient-dense nuts rich in healthy fats, fiber, and protein, perfect for quick snacking.;specific_snacks;160;14.0;6.0;6.0;vegan,vegetarian,lactose-intolerant,gluten-free
Hard-boiled Egg;Portable, protein-rich snack with essential nutrients like choline and vitamin D.;specific_snacks;78;5.3;1.0;6.3;vegetarian,gluten-free
Hummus with Carrots;Savory hummus paired with carrots for a balanced, on-the-go snack.;specific_snacks;150;8.0;16.0;5.0;vegan,vegetarian,lactose-intolerant,gluten-free
Turkey Slices;Lean protein slices, great for quick snacks and muscle recovery.;specific_snacks;90;1.0;1.0;19.0;gluten-free
Protein Bar;Convenient, high-protein snack, ideal for post-workout or mid-day energy.;specific_snacks;200;7.0;20.0;15.0;gluten-free
Mixed Nuts;A mix of nuts, rich in healthy fats and protein, providing sustained energy.;specific_snacks;170;15.0;6.0;5.0;vegan,vegetarian,lactose-intolerant,gluten-free
Peanut Butter;Rich in protein and healthy fats, great for pairing with fruits or veggies on the go.;specific_snacks;190;16.0;7.0;8.0;vegetarian,gluten-free
Edamame;Steamed soybeans, an excellent source of plant-based protein.;specific_snacks;122;5.0;9.0;11.0;vegan,vegetarian,lactose-intolerant,gluten-free
String Cheese;A portable cheese snack, high in calcium and protein.;specific_snacks;80;6.0;1.0;7.0;vegetarian,gluten-free
Beef Jerky;A chewy, protein-packed snack, low in fat and carbs, great for post-workout.;specific_snacks;116;7.3;3.1;9.4;gluten-free
Protein Shake;A convenient drink high in protein, perfect for muscle recovery after workouts.;specific_snacks;120;2.0;3.0;24.0;gluten-free
Tuna Salad;Canned tuna mixed with olive oil or mayo, high in protein and omega-3 fats.;specific_snacks;194;10.0;0.0;22.0;gluten-free
Dark Chocolate;Rich, indulgent chocolate with antioxidants, ideal for a quick snack.;specific_snacks;170;12.0;13.0;2.0;vegetarian,gluten-free
Trail Mix;A combination of nuts, seeds, and dried fruit, providing a balanced snack.;specific_snacks;200;12.0;16.0;7.0;vegan,vegetarian,lactose-intolerant,gluten-free
Boiled Chickpeas;Protein-packed legumes rich in fiber and essential minerals like iron.;specific_snacks;269;4.3;45.0;14.5;vegan,vegetarian,lactose-intolerant,gluten-free
Boiled Lentils;Fiber-rich lentils, packed with plant-based protein, supporting heart health.;specific_snacks;230;0.8;39.0;18.0;vegan,vegetarian,lactose-intolerant,gluten-free
Cottage Cheese with Pineapple;Creamy cottage cheese paired with sweet pineapple for a balanced, high-protein snack.;specific_snacks;180;2.0;16.0;20.0;vegetarian,gluten-free
Almond Butter with Celery;Rich almond butter spread on celery sticks, a balanced, on-the-go snack.;specific_snacks;190;16.0;7.0;6.0;vegan,vegetarian,lactose-intolerant,gluten-free
Sliced Chicken Breast;Lean chicken breast slices, high in protein, ideal for quick snacking.;specific_snacks;100;1.5;1.0;21.0;gluten-free
